id;score clasificación;clase real
92;0.9670538995023193;SI
93;0.05833365488295259;NO
94;0.8138080751418231;SI
95;0.0029668438866084206;NO
96;0.032469048649973166;NO
97;0.010976214452812527;NO
98;0.0015999343616672137;NO
99;0.006179941002949853;NO
100;0.016033263531003247;NO
101;0.05655625196711386;NO
102;0.13501042681907008;NO
103;0.19015333729623424;NO
104;0.8301679777961756;SI
105;0.0;NO
106;0.005986654860540131;NO
107;0.0;NO
108;0.01;NO
109;0.8916275202215417;SI
110;0.00846563981042654;NO
111;0.002926461114040928;NO
112;0.6616477284256967;SI
113;0.1601258062701064;NO
114;0.9836297162997876;SI
115;0.01;NO
116;0.03483931008810026;NO
117;0.5737965276200581;SI
118;0.7216124550972306;SI
119;0.0;NO
120;0.9767275357800826;SI
121;0.7050047934204268;SI
122;0.8887650900561728;SI
123;0.005;NO
124;0.005;NO
125;0.9551725147395368;SI
126;0.028469727768843357;NO
127;0.1630462181634564;NO
128;0.08882566974262973;NO
129;0.0;NO
130;0.125;NO
131;0.005;NO
132;0.0023124814705010373;NO
133;0.9551725147395368;SI
134;0.994630691799002;SI
135;0.09772976596141052;NO
136;0.005;NO
137;0.010940438871473356;NO
138;0.9386132293175901;SI
139;0.0;NO
140;0.9433974484823122;SI
141;0.05274538752881209;NO
142;0.009856074615454449;NO
143;0.014050527293258673;NO
144;0.01025956738768719;NO
145;0.003909180472001671;NO
146;0.1523790365291777;NO
147;0.01693932336340877;NO
148;0.8704455212486464;SI
149;0.23450107721888622;NO
150;0.01;NO
151;0.023536352439931952;NO
152;0.03703170116514642;NO
153;0.13465170270262425;NO
154;0.6979509677355068;SI
155;0.004181326740187768;NO
156;0.024367002002447537;NO
157;0.07247026525113641;NO
158;0.10455270056881291;NO
159;0.13556827919552075;NO
160;0.03336448306435657;NO
161;0.3623342639257637;NO
162;0.04917866862391893;NO
163;0.0;NO
164;0.0018795180722891566;NO
165;0.013287409475535503;NO
166;0.004375772367500349;NO
167;0.02207165172402565;NO
168;0.049303990149035345;NO
169;0.0;NO
170;0.038004326188011944;NO
171;0.30635221242862054;NO
172;0.9811615968008632;SI
173;0.8048307504505149;SI
174;0.8916720078801103;SI
175;0.3038228942814015;NO
176;0.3932021311439566;NO
177;0.22315502181636013;NO
178;0.15928807036833426;NO
179;0.995;SI
180;0.12116667258774261;NO
181;0.07465889732480156;NO
182;0.005;NO
183;0.1685705584587442;NO
184;0.7955804892516015;SI
185;0.062360523532721895;NO
186;0.005;NO
187;0.002147577092511013;NO
188;0.00888982885681889;NO
189;0.0011799410029498527;NO
190;0.9775138317627194;SI
191;0.121757479034753;NO
192;0.009003079291762894;NO
193;0.0025048169556840076;NO
194;0.009093771868439468;NO
195;0.8452851452307958;SI
196;0.0;NO
197;0.1424196277653219;NO
198;0.03407164365458346;NO
199;0.10314006976112068;NO
200;0.004656407535155214;NO
201;0.20312071996719255;NO
202;0.01;NO
203;0.0;NO
204;0.0;NO
205;0.0;NO
206;0.0;NO
207;0.0;NO
208;0.17071627179045623;NO
209;0.0;NO
210;0.8922252793628803;SI
211;0.02496500330336671;NO
212;0.8106101283450066;SI
213;0.942893823997823;SI
214;0.006351775762894132;NO
215;0.015;NO
216;0.0;NO
217;0.023725866085295665;NO
218;0.0;NO
219;0.005;NO
220;0.9613966399442119;SI
221;0.9159358017492245;SI
222;0.008078786627817042;NO
223;0.22192648725763406;NO
224;0.05042040848609774;NO
225;0.0;NO
226;0.0476499120794793;NO
227;0.0;NO
228;0.013809260037975552;NO
229;0.157311559272325;NO
230;0.020892494554963295;NO
231;0.08790094589239429;NO
232;0.11842149874846557;NO
233;0.778125457636189;SI
234;0.845168268620099;SI
235;0.011836204166326835;NO
236;0.016430992657410815;NO
237;0.9749982436954814;SI
238;0.0;NO
239;0.010940438871473356;NO
240;0.9547589316379831;SI
241;0.05759297028647617;NO
242;0.18880785805423236;NO
243;0.020046663251642872;NO
244;0.9543548161640186;SI
245;0.9563424395809446;SI
246;0.9841095277565148;SI
247;0.0;NO
248;0.9219025209055982;SI
249;0.10734220656455258;NO
250;0.14419608355583388;NO
251;0.0;NO
252;0.8426769582161715;SI
253;0.027147577092511012;NO
254;0.8308395083355775;SI
255;0.15558172265213996;NO
256;0.02;NO
257;0.0770872267410956;NO
258;0.09439561794373741;NO
259;0.9199104294474035;SI
260;0.8519959868594015;SI
